"Mkey	EventDate	City	State	Country	ReportNo	N#	SerialNumber	HasSafetyRec	Mode	ReportType	OriginalPublishedDate	DocketOriginalPublishedDate	HighestInjuryLevel	FatalInjuryCount	SeriousInjuryCount	MinorInjuryCount	OnboardInjuryCount	OnGroundInjuryCount	ProbableCause	Findings	EventID	Latitude	Longitude 	Make	Model	AirCraftCategory	AirportID	AirportName	AmateurBuilt	NumberOfEngines	EngineType	Scheduled	PurposeOfFlight	FAR	AirCraftDamage	WeatherCondition	Operator	BroadPhaseofFlight	ReportStatus	RepGenFlag	MostRecentReportType	DocketUrl	ReportUrl			",,,,,,,,,,,,,,,,,,,,,,,
"cases2020.csv	ENG21LA011	INC	102496	2020-12-31T18:15:00Z	Opa Locka	Florida	United States		N75TL	5010016	FALSE	Aviation	DirectorBrief	12/2/2022 0:00		None	0	0	0	0		An uncontained left engine failure caused by a low cycle fatigue crack that originated from a manufacturing machining groove on the high pressure compressor impeller aft face. Contributing to the incident was service bulletin borescope inspection criteria that was insufficient to detect the presence of machining grooves on the high pressure compressor impeller at the time the incident engine was inspected in May 2004.	""Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Compressor section - Failure", Organizational issues - Development - Manufacture/production - Document/info production - Manufacturer, Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Compressor section - Inadequate inspection," Organizational issues - Development - Manufacture/production - Equipment manufacture - Manufacturer""		25.907	-80.278	CESSNA	501	AIR	OPF	Opa Locka Executive Airport	false	2	TF	NSCH	PERS	091	Minor	VMC	Interstellar Air LLC	Takeoff	Completed		Final		https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102496/pdf",,,,,,,,,,,,,,,,,,,,
"cases2020.csv	WPR21LA079	ACC	102492	2020-12-31T18:00:00Z	Riverside	Utah	United States		N1571A	20-787	FALSE	Aviation	DirectorBrief	9/20/2021 0:00	2021-09-01T11:00:00Z	None	0	0	0	0		""A failure of the throttle control during a landing roll"," which resulted in a loss of control and collision with a fence.""	""Aircraft - Aircraft power plant - Engine controls - Power lever - Failure", Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot," Environmental issues - Physical environment - Object/animal/substance - Fence/fence post - Contributed to outcome""		41.780070000000002	-112.14178	PIPER	PA-20-135	AIR	PRIVATE	PRIVATE	false	1	REC		PERS	091	Substantial	VMC		Landing	Completed		Final	https://data.ntsb.gov/Docket?ProjectID=102492	https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102492/pdf",,,,,,,,,,,,,,,,,,,,
"cases2020.csv	ANC21LA010	ACC	102493	2020-12-31T15:45:00Z	Hope	Alaska	United States		N949AF	17280449	FALSE	Aviation	DirectorBrief	10/19/2021 0:00		Minor	0	0	1	1		The pilot’s selection of unsuitable terrain for landing. A factor was the certified flight instructor’s selection of unsuitable terrain for landing.	""Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot", Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Instructor/check pilot," Environmental issues - Physical environment - Runway/land/takeoff/taxi surface - Snow/slush/ice covered surface - Ability to respond/compensate""		60.906779999999998	-149.62317	CESSNA	172R	AIR	5HO	HOPE	false	1	REC		INST	091	Substantial	VMC	ELMENDORF AIR FORCE BASE AERO CLUB	Landing	Completed		Final		https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102493/pdf",,,,,,,,,,,,,,,,,,,,,
"cases2020.csv	DCA21WA062	ACC	102488	2020-12-31T14:49:00Z	Johannesburg		South Africa		ZS-JCT		FALSE	Aviation				None	0	0	0	0					-26.139199999999999	28.246	BEECH	1900	AIR	JNB	OR Tambo International Airport	false					129	Minor		Balmoral	Taxi	N/A		Prelim		None",,,,,,,,,,,,,,,,,,,,,,,
"cases2020.csv	DCA21WA063	INC	102497	2020-12-31T02:15:00Z	Bogata		Colombia		N557AV	5057	FALSE	Aviation													4.7015900000000004	-74.1469	AIRBUS	A319-115	AIR	BOG	El Dorado International Airport	false	2		SCHD		121	Minor		Aerovías del Continente Americano AVIANCA	Landing	N/A		Prelim		None",,,,,,,,,,,,,,,,,,,,,,,
"cases2020.csv	ERA21LA097	ACC	102495	2020-12-30T18:10:00Z	Holly Ridge	North Carolina	United States		N728VM	31-0136	FALSE	Aviation	DirectorBrief	8/20/2021 0:00	2021-07-13T19:00:00Z	None	0	0	0	0		The pilot’s failure to perform a go-around during an unstable approach to land which resulted in a landing area overshoot and a subsequent runway excursion.	""Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot"," Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent/approach/glide path - Not attained/maintained""		34.487113000000001	-77.52707	MOONEY INTERNATIONAL CORP	M20TN	AIR	N21	HOLLY RIDGE/TOPSAIL ISLAND AIRPORT	false	1	REC		PERS	091	Substantial	VMC	MBS Aviation	Landing	Completed		Final	https://data.ntsb.gov/Docket?ProjectID=102495	https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102495/pdf",,,,,,,,,,,,,,,,,,,,,,
"cases2020.csv	ERA21LA238	ACC	103192	2020-12-30T17:00:00Z	York	Pennsylvania	United States		N463ST	4692073	FALSE	Aviation	DirectorBrief	11/4/2022 0:00	2022-10-21T19:00:00Z	None	0	0	0	0	0	""An improper weld repair of the engine mount"," which resulted in a fatigue failure of the mount and subsequent nose landing gear collapse. Contributing to the accident was maintenance personnel’s failure to accomplish the manufacturer’s service bulletin pertaining to engine mount inspections.""	""Personnel issues - Task performance - Maintenance - Repair - Maintenance personnel", Aircraft - Aircraft structures - Fuselage - Engine attach fitting (on fus) - Fatigue/wear/corrosion, Aircraft - Aircraft structures - Fuselage - Engine attach fitting (on fus) - Incorrect service/maintenance," Aircraft - Aircraft structures - Fuselage - Engine attach fitting (on fus) - Inadequate inspection""		39.917000000000002	-76.873028	PIPER AIRCRAFT INC	PA46R-350T	AIR	THV	YORK	false	1	REC		PERS	091	Substantial	VMC		Landing	Completed		Final	https://data.ntsb.gov/Docket?ProjectID=103192	https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/103192/pdf",,,,,,,,,,,,,,,,,,,
"cases2020.csv	ERA21LA096	ACC	102494	2020-12-30T13:00:00Z	Topping	Virginia	United States		N96540	8840	FALSE	Aviation	DirectorBrief	7/16/2021 0:00	2021-07-08T19:00:00Z	None	0	0	0	0		""The pilot’s failure to maintain directional control during landing"," with resulted in a ground loop and subsequent nose over.""	""Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot"," Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained""		37.602493000000003	-76.446681	TAYLORCRAFT	BC12	AIR	W75	HUMMEL FIELD	false	1	REC		PERS	091	Substantial	VMC		Landing	Completed		Final	https://data.ntsb.gov/Docket?ProjectID=102494	https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102494/pdf",,,,,,,,,,,,,,,,,,,,,
"cases2020.csv	ANC21WA009	ACC	102487	2020-12-30T05:00:00Z	""Ojiro in Shimada-City"," Shizuoka""	Other Foreign	Japan		JA77AR		FALSE	Aviation				Fatal	1	0	0	1							ROBINSON	R66	HELI			false					UNK	Unknown			Unknown	N/A		Prelim		None",,,,,,,,,,,,,,,,,,,,,,
"cases2020.csv	DCA21WA061	INC	102479	2020-12-30T01:34:00Z	San Jose	Other Foreign	Costa Rica		N73275	31593	FALSE	Aviation				None	0	0	0	0					9.9938599999999997	-84.208801	BOEING	737-824	AIR	SJO	Juan Santamaria International Airport	false	2	TF	SCHD		121	Minor		United Airlines	Landing	N/A		Factual		None",,,,,,,,,,,,,,,,,,,,,,,
"cases2020.csv	ERA21LA093	ACC	102476	2020-12-29T12:50:00Z	Westfield	Massachusetts	United States		N916MT	TC-1623	FALSE	Aviation	DirectorBrief	7/16/2021 0:00	2021-07-08T19:00:00Z	None	0	0	0	0		The pilot’s failure to maintain control of the airplane during the landing and his failure to confirm that the landing gear was extended before landing.	""Aircraft - Aircraft systems - Landing gear system - Gear extension and retract sys - Not used/operated", Personnel issues - Action/decision - Action - Forgotten action/omission - Pilot, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Lateral/bank control - Not attained/maintained," Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot""		42.158287999999999	-72.716048	BEECH	95-B55 (T42A)	AIR	BAF	WESTFIELD-BARNES RGNL	false	2	REC		PERS	091	Substantial	VMC		Landing	Completed		Final	https://data.ntsb.gov/Docket?ProjectID=102476	https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102476/pdf",,,,,,,,,,,,,,,,,,,,
"cases2020.csv	ERA21LA094	ACC	102477	2020-12-29T12:30:00Z	Stowe	Pennsylvania	United States		N6327F	18264160	FALSE	Aviation	DirectorBrief	8/20/2021 0:00	2021-07-13T19:00:00Z	None	0	0	0	0	0	""The pilot's loss of directional control while landing in a gusty crosswind"," which resulted in a runway excursion and subsequent impact with terrain.""	""Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Directional control - Not attained/maintained", Environmental issues - Conditions/weather/phenomena - Wind - Gusts - Effect on operation, Environmental issues - Conditions/weather/phenomena - Wind - Crosswind - Effect on operation," Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot""		40.258777000000002	-75.673808	CESSNA	182	AIR	N47	POTTSTOWN MUNI	false	1	REC		PERS	091	Substantial	VMC	BALDRICK AVIATION PARTNERSHIP LLC	Landing	Completed		Final	https://data.ntsb.gov/Docket?ProjectID=102477	https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/102477/pdf",,,,,,,,,,,,,,,,,,,
"cases2020.csv	GAA21WA006	ACC	102499	2020-12-29T11:30:00Z	""Rancador"," PR""		Brazil		PT-KCK		FALSE	Aviation				Fatal	4	0	0	4					243935	521722	CESSNA	177	AIR			false					NUSN	Destroyed		Rogerio Franci Brito e Outros	Enroute	N/A		Prelim		None",,,,,,,,,,,,,,,,,,,,,,
