"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"CEN25LA162","ACC","200057","2025-04-22T13:25:00Z","Fayetteville","Arkansas","United States",,"N4795C",,"false","Aviation","",,,"None","0","0","0","0","0",,,,,,"CESSNA","T210N",,,,"false",,,,,,,,,"Initial Climb","In work",,,"",""
"ENG25WA030","INC","200056","2025-04-22T04:00:00Z","Budapest",,"Hungary",,"SP-RZUb",,"false","Aviation","",,,"None","0","0","0","0",,,,,,,"BOEING","737",,,,"false",,,,,,,,,"Takeoff","N/A",,,"","None"
"DCA25LA190","ACC","200055","2025-04-20T04:00:00Z","Tulsa","Oklahoma","United States",,"N461WN",,"false","Aviation","",,,"None","0","0","0","0",,,,,,,"BOEING","737-7H4",,,,"false",,,"SCHD",,"121",,,"SOUTHWEST AIRLINES CO","Enroute","In work",,,"",""
"WPR25LA138","ACC","200048","2025-04-19T11:42:00Z","Hood River","Oregon","United States",,"N5786S","115","false","Aviation","",,,"None","0","0","0","0",,,,,"45.674118","-121.52271","SCHWEIZER","SGS 2-33A","GLI","4S2","KEN JERNSTEDT AIRFIELD","false","0",,,"INST","091","Substantial","VMC","HOOD RIVER SOARING INC","Approach","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200048/pdf"
"WPR25LA136","ACC","200044","2025-04-19T11:06:00Z","Phoenix","Arizona","United States",,"N321WC",,"false","Aviation","",,,"None","0","0","0","0",,,,,,,"CHAPIN WALLACE HADLEY","SENIOR AERO SPORT",,,,"false",,,,,,,,,"Approach","In work",,,"",""
"ERA25FA179","ACC","200037","2025-04-19T10:16:00Z","Trilla","Illinois","United States",,"N4679U",,"false","Aviation","",,,"Fatal","4","0","0","4","0",,,,,,"CESSNA","180",,,,"false",,,,,"091",,"IMC",,"Uncontrolled Descent","In work",,,"",""
"WPR25LA140","ACC","200050","2025-04-19T09:50:00Z","Placerville","California","United States",,"N6682S","15067482","false","Aviation","",,,"None","0","0","0","0",,,,,"38.725591999999999","-120.74894999999999","CESSNA","150","AIR","PVF","PLACERVILLE","false","1",,,"PERS","091","Substantial","VMC",,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200050/pdf"
"WPR25LA141","ACC","200051","2025-04-18T12:10:00Z","Placerville","California","United States",,"N1286B","5913","false","Aviation","",,,"None","0","0","0","0",,,,,"38.799660000000003","-120.73742","LUSCOMBE","8","AIR","01CL","SWANSBORO COUNTRY","false","1",,,"PERS","091","Substantial",,,"Landing","In work",,"Prelim","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/200051/pdf"
"CEN25LA160","ACC","200039","2025-04-18T10:47:00Z","Danevang","Texas","United States",,"N5416",,"false","Aviation","",,,,,,,,,,,,,,"GRUMMAN","G164",,,,"false",,,,"AAPL","137",,"VMC","NELSON FLYERS INC","Maneuvering","In work",,,"",""
"WPR25LA142","ACC","200053","2025-04-15T02:35:00Z","West Jordan","Utah","United States",,"N15984",,"false","Aviation","",,,"None","0","0","0","0",,,,,,,"PIPER","PA28",,,,"false",,,,"INST",,,,,"Takeoff","In work",,,"",""
