index,EventType,EventDate,HasSafetyRec,Mode,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,Make,Model,AirCraftCategory,AirportID,AmateurBuilt,NumberOfEngines,EngineType,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,BroadPhaseofFlight,ReportStatus,MostRecentReportType,FatalYN,DaysUntilPublished
0,INC,2020-12-31T18:15:00Z,False,Aviation,12/2/2022 0:00,?,0.0,0.0,0.0,0.0,CESSNA,501,AIR,OPF,False,0.25,TF,PERS,091,Minor,VMC,Takeoff,Completed,Final,0,0.3570691434468524
1,ACC,2020-12-31T18:00:00Z,False,Aviation,9/20/2021 0:00,?,0.0,0.0,0.0,0.0,PIPER,PA-20-135,AIR,PRIVATE,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.13106295149638802
2,ACC,2020-12-31T15:45:00Z,False,Aviation,10/19/2021 0:00,Minor,0.0,0.0,1.0,1.0,CESSNA,172R,AIR,5HO,False,0.125,REC,INST,091,Substantial,VMC,Landing,Completed,Final,0,0.1460268317853457
3,ACC,2020-12-31T14:49:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,BEECH,1900,AIR,JNB,False,,?,?,129,Minor,?,Taxi,?,Prelim,0,0.8116615067079463
4,INC,2020-12-31T02:15:00Z,False,Aviation,?,?,?,?,?,?,AIRBUS,A319-115,AIR,BOG,False,0.25,?,?,121,Minor,?,Landing,?,Prelim,0,0.8116615067079463
5,ACC,2020-12-30T18:10:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,MOONEY INTERNATIONAL CORP,M20TN,AIR,N21,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.1155830753353973
6,ACC,2020-12-30T17:00:00Z,False,Aviation,11/4/2022 0:00,?,0.0,0.0,0.0,0.0,PIPER AIRCRAFT INC,PA46R-350T,AIR,THV,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.3431372549019608
7,ACC,2020-12-30T13:00:00Z,False,Aviation,7/16/2021 0:00,?,0.0,0.0,0.0,0.0,TAYLORCRAFT,BC12,AIR,W75,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.09752321981424147
8,ACC,2020-12-30T05:00:00Z,False,Aviation,?,Fatal,1.0,0.0,0.0,1.0,ROBINSON,R66,HELI,?,False,,?,?,UNK,Unknown,?,Unknown,?,Prelim,1,0.8121775025799793
9,INC,2020-12-30T01:34:00Z,False,Aviation,?,?,0.0,0.0,0.0,0.0,BOEING,737-824,AIR,SJO,False,0.25,TF,?,121,Minor,?,Landing,?,Factual,0,0.8121775025799793
10,ACC,2020-12-29T12:50:00Z,False,Aviation,7/16/2021 0:00,?,0.0,0.0,0.0,0.0,BEECH,95-B55 (T42A),AIR,BAF,False,0.25,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.0980392156862745
11,ACC,2020-12-29T12:30:00Z,False,Aviation,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,CESSNA,182,AIR,N47,False,0.125,REC,PERS,091,Substantial,VMC,Landing,Completed,Final,0,0.11609907120743033
