index,EventType,EventDate,HasSafetyRec,Mode,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,Make,Model,AirCraftCategory,AirportID,AmateurBuilt,NumberOfEngines,EngineType,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,BroadPhaseofFlight,ReportStatus,MostRecentReportType
0,INC,2020-12-31T18:15:00Z,False,Aviation,12/2/2022 0:00,,0.0,0.0,0.0,0.0,CESSNA,501,AIR,OPF,false,2,TF,PERS,091,Minor,VMC,Takeoff,Completed,Final
1,ACC,2020-12-31T18:00:00Z,False,Aviation,9/20/2021 0:00,,0.0,0.0,0.0,0.0,PIPER,PA-20-135,AIR,PRIVATE,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
2,ACC,2020-12-31T15:45:00Z,False,Aviation,10/19/2021 0:00,Minor,0.0,0.0,1.0,1.0,CESSNA,172R,AIR,5HO,false,1,REC,INST,091,Substantial,VMC,Landing,Completed,Final
3,ACC,2020-12-31T14:49:00Z,False,Aviation,,,0.0,0.0,0.0,0.0,BEECH,1900,AIR,JNB,false,,,,129,Minor,,Taxi,,Prelim
4,INC,2020-12-31T02:15:00Z,False,Aviation,,,,,,,AIRBUS,A319-115,AIR,BOG,false,2,,,121,Minor,,Landing,,Prelim
5,ACC,2020-12-30T18:10:00Z,False,Aviation,8/20/2021 0:00,,0.0,0.0,0.0,0.0,MOONEY INTERNATIONAL CORP,M20TN,AIR,N21,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
6,ACC,2020-12-30T17:00:00Z,False,Aviation,11/4/2022 0:00,,0.0,0.0,0.0,0.0,PIPER AIRCRAFT INC,PA46R-350T,AIR,THV,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
7,ACC,2020-12-30T13:00:00Z,False,Aviation,7/16/2021 0:00,,0.0,0.0,0.0,0.0,TAYLORCRAFT,BC12,AIR,W75,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
8,ACC,2020-12-30T05:00:00Z,False,Aviation,,Fatal,1.0,0.0,0.0,1.0,ROBINSON,R66,HELI,,false,,,,UNK,Unknown,,Unknown,,Prelim
9,INC,2020-12-30T01:34:00Z,False,Aviation,,,0.0,0.0,0.0,0.0,BOEING,737-824,AIR,SJO,false,2,TF,,121,Minor,,Landing,,Factual
10,ACC,2020-12-29T12:50:00Z,False,Aviation,7/16/2021 0:00,,0.0,0.0,0.0,0.0,BEECH,95-B55 (T42A),AIR,BAF,false,2,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
11,ACC,2020-12-29T12:30:00Z,False,Aviation,8/20/2021 0:00,,0.0,0.0,0.0,0.0,CESSNA,182,AIR,N47,false,1,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
12,ACC,2020-12-29T11:30:00Z,False,Aviation,,Fatal,4.0,0.0,0.0,4.0,CESSNA,177,AIR,,false,,,,NUSN,Destroyed,,Enroute,,Prelim
13,ACC,2020-12-29T09:35:00Z,False,Aviation,12/7/2022 0:00,Fatal,1.0,0.0,0.0,1.0,HUGHES,369D,HELI,,false,1,TS,EXLD,133,Destroyed,VMC,Maneuvering,Completed,Final
14,ACC,2020-12-28T22:03:00Z,False,Aviation,,,0.0,0.0,0.0,0.0,EMBRAER SA,EMB-550,AIR,,false,2,,,NUSN,Substantial,,Landing,,Prelim
15,ACC,2020-12-28T21:00:00Z,False,Aviation,7/19/2022 0:00,,0.0,0.0,0.0,0.0,CESSNA,172H,AIR,,false,1,REC,PERS,091,Substantial,VMC,Enroute,Completed,Final
16,ACC,2020-12-28T20:45:00Z,False,Aviation,7/12/2022 0:00,,0.0,0.0,0.0,0.0,BEECH,65-A80-8800,AIR,AXN,false,1,REC,,135,Substantial,VMC,Initial Climb,Completed,Final
17,ACC,2020-12-28T17:00:00Z,False,Aviation,8/20/2021 0:00,,0.0,0.0,0.0,0.0,PIPER,PA-30,AIR,60R,false,2,REC,PERS,091,Substantial,VMC,Landing,Completed,Final
18,INC,2020-12-28T05:15:00Z,False,Aviation,,,,,,,AIRBUS,A330,AIR,KEF,false,2,,BUS,121,,,Enroute,,Prelim
19,ACC,2020-12-27T19:12:00Z,False,Aviation,1/31/2023 0:00,Minor,0.0,0.0,3.0,3.0,BEECH,35,AIR,IZA,false,1,REC,PERS,091,Substantial,VMC,Approach,Completed,Final
20,ACC,2020-12-27T16:20:00Z,False,Aviation,2/2/2023 0:00,Minor,0.0,0.0,1.0,1.0,CESSNA,172,AIR,44N,false,1,REC,PERS,091,Substantial,VMC,Approach,Completed,Final
21,ACC,2020-12-27T14:36:00Z,False,Aviation,7/16/2021 0:00,Serious,0.0,1.0,0.0,1.0,GLASFLUGEL,CLUB LIBELLE 205,GLI,7NC5,false,0,,PERS,091,Substantial,VMC,Approach,Completed,Final
22,ACC,2020-12-27T14:00:00Z,False,Aviation,11/4/2022 0:00,Minor,0.0,0.0,2.0,2.0,PIPER,PA-22-150,AIR,,false,1,REC,PERS,091,Substantial,VMC,Maneuvering,Completed,Final
