index,EventType,EventDate,HasSafetyRec,Mode,OriginalPublishedDate,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,OnboardInjuryCount,Make,Model,AirCraftCategory,AirportID,AmateurBuilt,NumberOfEngines,EngineType,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,BroadPhaseofFlight,ReportStatus,MostRecentReportType,FatalYN
0,1,2020-12-31T18:15:00Z,False,0,12/2/2022 0:00,?,0.0,0.0,0.0,0.0,250,303,1,2165,False,0.25,6,15,0,2,3,10,1,2,0
1,0,2020-12-31T18:00:00Z,False,0,9/20/2021 0:00,?,0.0,0.0,0.0,0.0,896,1577,1,2277,False,0.125,5,15,0,3,3,5,1,2,0
2,0,2020-12-31T15:45:00Z,False,0,10/19/2021 0:00,Minor,0.0,0.0,1.0,1.0,250,75,1,390,False,0.125,5,13,0,3,3,5,1,2,0
3,0,2020-12-31T14:49:00Z,False,0,?,?,0.0,0.0,0.0,0.0,157,121,1,1488,False,,0,0,6,2,0,11,0,3,0
4,1,2020-12-31T02:15:00Z,False,0,?,?,?,?,?,?,45,514,1,752,False,0.25,0,0,4,2,0,5,0,3,0
5,0,2020-12-30T18:10:00Z,False,0,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,813,1391,1,2048,False,0.125,5,15,0,3,3,5,1,2,0
6,0,2020-12-30T17:00:00Z,False,0,11/4/2022 0:00,?,0.0,0.0,0.0,0.0,898,1679,1,2644,False,0.125,5,15,0,3,3,5,1,2,0
7,0,2020-12-30T13:00:00Z,False,0,7/16/2021 0:00,?,0.0,0.0,0.0,0.0,1175,720,1,2802,False,0.125,5,15,0,3,3,5,1,2,0
8,0,2020-12-30T05:00:00Z,False,0,?,Fatal,1.0,0.0,0.0,1.0,993,1728,6,576,False,,0,0,15,4,0,13,0,3,1
9,1,2020-12-30T01:34:00Z,False,0,?,?,0.0,0.0,0.0,0.0,179,369,1,2499,False,0.25,6,0,4,2,0,5,0,1,0
10,0,2020-12-29T12:50:00Z,False,0,7/16/2021 0:00,?,0.0,0.0,0.0,0.0,157,462,1,703,False,0.25,5,15,0,3,3,5,1,2,0
11,0,2020-12-29T12:30:00Z,False,0,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,250,97,1,2054,False,0.125,5,15,0,3,3,5,1,2,0
12,0,2020-12-29T11:30:00Z,False,0,?,Fatal,4.0,0.0,0.0,4.0,250,83,1,576,False,,0,0,13,1,0,3,0,3,1
13,0,2020-12-29T09:35:00Z,False,0,12/7/2022 0:00,Fatal,1.0,0.0,0.0,1.0,605,241,6,576,False,0.125,9,8,7,1,3,6,1,2,1
14,0,2020-12-28T22:03:00Z,False,0,?,?,0.0,0.0,0.0,0.0,424,1019,1,576,False,0.25,0,0,13,3,0,5,0,3,0
15,0,2020-12-28T21:00:00Z,False,0,7/19/2022 0:00,?,0.0,0.0,0.0,0.0,250,67,1,576,False,0.125,5,15,0,3,3,3,1,2,0
16,0,2020-12-28T20:45:00Z,False,0,7/12/2022 0:00,?,0.0,0.0,0.0,0.0,157,332,1,685,False,0.125,5,0,8,3,3,4,1,2,0
17,0,2020-12-28T17:00:00Z,False,0,8/20/2021 0:00,?,0.0,0.0,0.0,0.0,896,1613,1,408,False,0.25,5,15,0,3,3,5,1,2,0
18,1,2020-12-28T05:15:00Z,False,0,?,?,?,?,?,?,45,527,1,1578,False,0.25,0,6,4,0,0,3,0,3,0
19,0,2020-12-27T19:12:00Z,False,0,1/31/2023 0:00,Minor,0.0,0.0,3.0,3.0,157,229,1,1475,False,0.125,5,15,0,3,3,1,1,2,0
